date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:28	67009/67009	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:56%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/project/12.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/project/12.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-02.html)
11:24:28	77703/77703	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:54%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/project/08.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/project/08.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-02.html)
11:24:28	99650/99650	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:54%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/project/09.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/project/09.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-02.html)
11:24:29	66370/66370	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:55%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/project/11.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/project/11.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-02.html)
11:24:29	269827/269827	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:55%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/project/10.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/project/10.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-02.html)
11:24:29	93670/93670	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:39%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/feature-info/05.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/feature-info/05.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-02.html)
11:24:29	180623/180623	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:39%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/feature-info/06.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/feature-info/06.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-02.html)
11:24:29	5367/5367	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:15:17%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/award-logo/02.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/award-logo/02.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-02.html)
11:24:30	2021/2021	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:15:18%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/award-logo/06.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/award-logo/06.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-02.html)
11:24:31	220644/220644	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:16:01%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/slider/05.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/slider/05.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-03.html)
